Name,License number,Address,Start of validity,End of validity,latitude,longitude,scrape_status,maps_place,maps_url
Erdei János László,DKE1010000010,1204 Budapest 20. ker. Török Flóris   187/A.,2013.07.01,2033.06.30,47.4314188,19.1162555,ok,"Budapest, Török Flóris u. 187a, 1204 Hungary","https://www.google.com/maps/place/Budapest,+T%C3%B6r%C3%B6k+Fl%C3%B3ris+u.+187a,+1204+Hungary/@47.4314188,19.1162555,17z/data=!3m1!4b1!4m6!3m5!1s0x4741c2a151b77917:0x8479fd8d10de33e1!8m2!3d47.4314188!4d19.1162555!16s%2Fg%2F11cshnt02n?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Erdei János László,DKE1010000011,1204 Budapest 20. ker. Lázár utca 94.,2013.07.01,2033.06.30,47.4327357,19.1278652,ok,"Budapest, Lázár u. 94, 1204 Hungary","https://www.google.com/maps/place/Budapest,+L%C3%A1z%C3%A1r+u.+94,+1204+Hungary/@47.4327357,19.1278652,17z/data=!3m1!4b1!4m6!3m5!1s0x4741c299aba0679b:0xfcf468b70e6dead4!8m2!3d47.4327357!4d19.1278652!16s%2Fg%2F11yd_ftqzm?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Erős Dohány Bt,DKE1010000076,1221 Budapest 22. ker. Játék utca 2-12.,2013.07.01,2033.06.30,47.4277248,19.0399069,ok,"Budapest, Játék u. 2-12, 1221 Hungary","https://www.google.com/maps/place/Budapest,+J%C3%A1t%C3%A9k+u.+2-12,+1221+Hungary/@47.4277248,19.0399069,17z/data=!3m1!4b1!4m6!3m5!1s0x4741e79b7a0eb507:0x863582267b0379b5!8m2!3d47.4277248!4d19.0399069!16s%2Fg%2F11rp4vxxml?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Ertinger Tiborné,DKE1010000075,1183 Budapest 18. ker. Széchenyi István utca 6.,2013.07.01,2033.06.30,47.4455948,19.1746692,ok,"Budapest, Széchenyi István u. 6, 1184 Hungary","https://www.google.com/maps/place/Budapest,+Sz%C3%A9chenyi+Istv%C3%A1n+u.+6,+1184+Hungary/@47.4455948,19.1746692,17z/data=!3m1!4b1!4m6!3m5!1s0x4741c25aee30ea0d:0x1a4c8eed6c9e22cd!8m2!3d47.4455948!4d19.1746692!16s%2Fg%2F11j352whkz?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Esze-Láng Bettina Anett,DKE1010000016,1188 Budapest 18. ker. Kisfaludy utca 112.,2013.07.01,2033.06.30,47.4040515,19.1989078,ok,"Budapest, Kisfaludy u. 112, 1188 Hungary","https://www.google.com/maps/place/Budapest,+Kisfaludy+u.+112,+1188+Hungary/@47.4040515,19.1989078,17z/data=!3m1!4b1!4m6!3m5!1s0x4741ea036ea7db6b:0xa93b343385aa46e2!8m2!3d47.4040515!4d19.1989078!16s%2Fg%2F11j6zkqkft?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
"ETA és KRISZTINA
 Kereskedelmi
 Betéti Társaság",DKE1700000049,"1022 Budapest, Bimbó
 út 45.",2024.11.21,2033.06.30,47.5167143,19.0248643,ok,"Budapest, Bimbó út 45, 1022 Hungary","https://www.google.com/maps/place/Budapest,+Bimb%C3%B3+%C3%BAt+45,+1022+Hungary/@47.5167143,19.0248643,17z/data=!3m1!4b1!4m6!3m5!1s0x4741deaeddc46e23:0x97b7e73471519d4c!8m2!3d47.5167143!4d19.0248643!16s%2Fg%2F11fwhmnhm6?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Faragó Trafik Bt,DKE1600000088,1105 Budapest 10. ker. Kápolna utca 15.,2013.07.01,2033.06.30,47.4818835,19.1309147,ok,"Budapest, Kápolna u. 15, 1105 Hungary","https://www.google.com/maps/place/Budapest,+K%C3%A1polna+u.+15,+1105+Hungary/@47.4818835,19.1309147,17z/data=!3m1!4b1!4m6!3m5!1s0x4741c334ee9f2d3b:0xa3d95a39bd19cb04!8m2!3d47.4818835!4d19.1309147!16s%2Fg%2F11l6h2fgn9?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Faragó Trafik Bt,DKE1600000144,1173 Budapest 17. ker. Pesti út 159.,2013.07.01,2033.06.30,47.4797438,19.2517301,ok,"Budapest, Pesti út 159, 1173 Hungary","https://www.google.com/maps/place/Budapest,+Pesti+%C3%BAt+159,+1173+Hungary/@47.4797438,19.2517301,17z/data=!3m1!4b1!4m6!3m5!1s0x4741c1541e4934cf:0x3618fffaa8d9a1a5!8m2!3d47.4797438!4d19.2517301!16s%2Fg%2F11jn4dklf4?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Faragóné Mandrik Andrea,DKE1600000316,1173 Budapest 17. ker. Jósika utca 42.,2014.10.07,2034.08.24,47.4571854,19.2326976,no_place,,"https://www.google.com/maps/search/1173+Budapest+17.+ker.+J%C3%B3sika+utca+42./@47.4570753,19.2331021,17z/data=!3m1!4b1?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Fehér-Ifju Ivett,DKE1700000009,"1042 Budapest, Király utca 9.",2026.03.01,2033.06.30,47.5624578,19.0918893,no_place,,"https://www.google.com/maps/search/1042+Budapest,+Kir%C3%A1ly+utca+9./@47.5305567,19.0748942,13z/data=!3m1!4b1?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Fehérfüst Bt,DKE1600000012,1157 Budapest 15. ker. Erdőkerülő utca 36.,2013.07.01,2033.06.30,47.5411515,19.1503874,ok,"Budapest, Erdőkerülő u. 36, 1157 Hungary","https://www.google.com/maps/place/Budapest,+Erd%C5%91ker%C3%BCl%C5%91+u.+36,+1157+Hungary/@47.5411515,19.1503874,17z/data=!3m1!4b1!4m6!3m5!1s0x4741db270f56cb4b:0xce6a56db49797880!8m2!3d47.5411515!4d19.1503874!16s%2Fg%2F11cslrgvwd?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Fekecs Róbert Imréné,DKE1600000037,1108 Budapest 10. ker. Újhegyi sétány 18.,2013.07.01,2033.06.30,47.4715674,19.1643918,ok,"Budapest, Újhegyi stny. 18, 1108 Hungary","https://www.google.com/maps/place/Budapest,+%C3%9Ajhegyi+stny.+18,+1108+Hungary/@47.4715674,19.1643918,17z/data=!3m1!4b1!4m6!3m5!1s0x4741c31036b14477:0x93596a50cf2ef12e!8m2!3d47.4715674!4d19.1643918!16s%2Fg%2F11xw1bcs5j?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Fekete 86 Dohány Bt.,DKE1600000135,1163 Budapest 16. ker. Thököly út 10.,2013.07.01,2033.06.30,47.5089081,19.1709086,ok,"Budapest, Thököly út 10, 1163 Hungary","https://www.google.com/maps/place/Budapest,+Th%C3%B6k%C3%B6ly+%C3%BAt+10,+1163+Hungary/@47.5089081,19.1709086,17z/data=!3m1!4b1!4m6!3m5!1s0x4741c4a34ceaf0bd:0x318941cfbf65409f!8m2!3d47.5089081!4d19.1709086!16s%2Fg%2F11j8x317vj?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Feld Tabak Bt,DKE1700000038,1025 Budapest 02. ker. Törökvész út 76.,2013.07.01,2033.06.30,47.5280353,19.0061889,ok,"Budapest, Törökvész út 76, 1025 Hungary","https://www.google.com/maps/place/Budapest,+T%C3%B6r%C3%B6kv%C3%A9sz+%C3%BAt+76,+1025+Hungary/@47.5280353,19.0061889,17z/data=!3m1!4b1!4m6!3m5!1s0x4741d934bbe750d1:0x2bd1318a6466abd!8m2!3d47.5280353!4d19.0061889!16s%2Fg%2F11fwhl_pj5?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Ferenczi Gyöngyi,DKE1600000055,1173 Budapest 17. ker. Flamingó utca 19.,2013.07.01,2033.06.30,47.4756261,19.2387522,ok,"Budapest, Flamingó u. 19, 1173 Hungary","https://www.google.com/maps/place/Budapest,+Flaming%C3%B3+u.+19,+1173+Hungary/@47.4756261,19.2387522,17z/data=!3m1!4b1!4m6!3m5!1s0x4741c3e322181813:0x26a3339a916d69cc!8m2!3d47.4756261!4d19.2387522!16s%2Fg%2F11fwhm1qn4?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Fibaroson Bt,DKE1700000227,1034 Budapest 03. ker. Kolosy tér 5-6,2013.07.01,2033.06.30,47.5278286,19.0380506,ok,"Budapest, Kolosy tér 5-6, 1036 Hungary","https://www.google.com/maps/place/Budapest,+Kolosy+t%C3%A9r+5-6,+1036+Hungary/@47.5278286,19.0380506,17z/data=!3m1!4b1!4m6!3m5!1s0x4741d95661c2b533:0x4c030dec53248d!8m2!3d47.5278286!4d19.0380506!16s%2Fg%2F11rg6430m9?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Filtol Trafik Bt,DKE1010000106,"1112 Budapest, Balatoni út 1.",2025.01.23,2033.06.30,47.4356833,19.0063887,ok,"Budapest, Balatoni út 1, 1112 Hungary","https://www.google.com/maps/place/Budapest,+Balatoni+%C3%BAt+1,+1112+Hungary/@47.4356833,19.0063887,17z/data=!3m1!4b1!4m6!3m5!1s0x4741e75d4d3227cd:0x341e6d133b61849d!8m2!3d47.4356833!4d19.0063887!16s%2Fg%2F11wfdhng52?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Filtol Trafik Bt,DKE1010000151,"1111 Budapest, Karinthy Frigyes út 12.",2025.01.23,2033.06.30,47.4772118,19.0502167,ok,"Budapest, Karinthy Frigyes út 12, 1111 Hungary","https://www.google.com/maps/place/Budapest,+Karinthy+Frigyes+%C3%BAt+12,+1111+Hungary/@47.4772118,19.0502167,17z/data=!3m1!4b1!4m6!3m5!1s0x4741ddb29a6f428d:0x966104d3d708729b!8m2!3d47.4772118!4d19.0502167!16s%2Fg%2F11wfclwrjr?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Fitti Tobacco Bt.,DKE1700000195,"1026 Budapest, Házmán utca 2.",2023.11.13,2033.06.30,47.5167398,18.9993041,ok,"Budapest, Házmán u. 2, 1026 Hungary","https://www.google.com/maps/place/Budapest,+H%C3%A1zm%C3%A1n+u.+2,+1026+Hungary/@47.5167398,18.9993041,17z/data=!3m1!4b1!4m6!3m5!1s0x4741dec646dedb67:0x5a55613ad4ba4841!8m2!3d47.5167398!4d18.9993041!16s%2Fg%2F11jn4f82ly?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Fitti Tobacco Bt.,DKE1700000196,"1036 Budapest, Bécsi út 37.",2023.11.13,2033.06.30,47.5277337,19.0378802,ok,"Budapest, Bécsi út 37, 1036 Hungary","https://www.google.com/maps/place/Budapest,+B%C3%A9csi+%C3%BAt+37,+1036+Hungary/@47.5277337,19.0378802,17z/data=!3m1!4b1!4m6!3m5!1s0x4741d95689cc7489:0x653d46b7a9e2b0a8!8m2!3d47.5277337!4d19.0378802!16s%2Fg%2F11c5qk3jt2?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Flórián Tabak Bt.,DKE1700000055,"1033 Budapest, Miklós tér 4.",2023.04.28,2033.06.30,47.5463588,19.043845,ok,"Budapest, Miklós tér 4, 1033 Hungary","https://www.google.com/maps/place/Budapest,+Mikl%C3%B3s+t%C3%A9r+4,+1033+Hungary/@47.5463588,19.043845,17z/data=!3m1!4b1!4m6!3m5!1s0x4741d964297cef11:0x6f34ffb587448703!8m2!3d47.5463588!4d19.043845!16s%2Fg%2F11nr875c6s?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Flórián Tabak Bt.,DKE1700000056,"1033 Budapest, Flórián tér 6-9.",2023.04.26,2033.06.30,47.5421632,19.0401806,ok,"Budapest, Flórián tér 6-9, 1033 Hungary","https://www.google.com/maps/place/Budapest,+Fl%C3%B3ri%C3%A1n+t%C3%A9r+6-9,+1033+Hungary/@47.5421632,19.0401806,17z/data=!3m1!4b1!4m6!3m5!1s0x4741d96783a92b39:0x1b7e9a33ad813fed!8m2!3d47.5421632!4d19.0401806!16s%2Fg%2F11j6zl65w4?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
FM Tabak Bt,DKE1010000154,1221 Budapest 22. ker. Kossuth Lajos utca 25-29.,2013.07.01,2033.06.30,47.4263924,19.0388977,ok,"Budapest, Kossuth Lajos utca 25-29, 1221 Hungary","https://www.google.com/maps/place/Budapest,+Kossuth+Lajos+utca+25-29,+1221+Hungary/@47.4263924,19.0388977,17z/data=!3m1!4b1!4m6!3m5!1s0x4741e79b8da00579:0x2a39619106882f30!8m2!3d47.4263924!4d19.0388977!16s%2Fg%2F11j6zkk9t7?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Fortuna Dohánybolt Bt,DKE1600000232,1164 Budapest 16. ker. Szabadföld út 19/B.,2022.11.17,2033.06.30,47.5189624,19.2166398,no_place,,"https://www.google.com/maps/search/1164+Budapest+16.+ker.+Szabadf%C3%B6ld+%C3%BAt+19%2FB./@47.5204527,19.220365,17z/data=!3m1!4b1?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Fortuna Dohánybolt Bt,DKE1700000126,1032 Budapest 03. ker. Ágoston utca 1,2022.11.17,2033.06.30,47.5462719,19.0322125,no_place,,"https://www.google.com/maps/search/1032+Budapest+03.+ker.+%C3%81goston+utca+1/@47.5464102,19.031147,18z/data=!3m1!4b1?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
FREEMIND TOBACCO Bt.,DKE1700000050,"1039 Budapest, Pünkösdfürdő utca 52.",2026.02.12,2033.06.30,47.594957,19.0545542,ok,"Budapest, Pünkösdfürdő u. 52, 1039 Hungary","https://www.google.com/maps/place/Budapest,+P%C3%BCnk%C3%B6sdf%C3%BCrd%C5%91+u.+52,+1039+Hungary/@47.594957,19.0545542,17z/data=!3m1!4b1!4m6!3m5!1s0x4741d9ddd4aa8427:0x79b7db4d5018636b!8m2!3d47.594957!4d19.0545542!16s%2Fg%2F11hdcgl8w0?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Függőség Bt,DKE1700000141,1042 Budapest 04. ker. Petőfi u.- István utca sarok,2013.07.01,2033.06.30,47.5612926,19.0902169,ok,"Budapest, István út & Petőfi u., 1042 Hungary","https://www.google.com/maps/place/Budapest,+Istv%C3%A1n+%C3%BAt+%26+Pet%C5%91fi+u.,+1042+Hungary/@47.5612926,19.0902169,17z/data=!3m1!4b1!4m6!3m5!1s0x4741da3703b230c5:0x36c1514e612b66db!8m2!3d47.5612926!4d19.0902169!16s%2Fg%2F11gf085lkc?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Fumatore Bt,DKE1700000200,1133 Budapest 13. ker. Dráva utca 22.,2013.07.01,2033.06.30,47.5256227,19.0573983,ok,"Budapest, Dráva u. 22, 1133 Hungary","https://www.google.com/maps/place/Budapest,+Dr%C3%A1va+u.+22,+1133+Hungary/@47.5256227,19.0573983,17z/data=!3m1!4b1!4m6!3m5!1s0x4741dbf0f3e20f6d:0xcfcf33539e3ee9d9!8m2!3d47.5256227!4d19.0573983!16s%2Fg%2F11j8vv5wrp?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Fumatore Bt,DKE1700000201,1134 Budapest 13. ker. Váci út 9-15.,2013.07.01,2033.06.30,47.5182379,19.0610746,ok,"Budapest, Váci út 9-15, 1134 Hungary","https://www.google.com/maps/place/Budapest,+V%C3%A1ci+%C3%BAt+9-15,+1134+Hungary/@47.5182379,19.0610746,17z/data=!3m1!4b1!4m6!3m5!1s0x4741dbf578604c73:0x56d600a646f8f3f!8m2!3d47.5182379!4d19.0610746!16s%2Fg%2F11nnsc6_2s?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Fumatore Bt,DKE1700000202,1138 Budapest 13. ker. Dunavirág utca 2.,2013.07.01,2033.06.30,47.5351475,19.0611232,ok,"Budapest, Dunavirág u. 2, 1138 Hungary","https://www.google.com/maps/place/Budapest,+Dunavir%C3%A1g+u.+2,+1138+Hungary/@47.5351475,19.0611232,17z/data=!3m1!4b1!4m6!3m5!1s0x4741dbe62eee7459:0x206ee71741d22623!8m2!3d47.5351475!4d19.0611232!16s%2Fg%2F11knd990hy?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Fumo Gold Bt.,DKE1700000081,"1131 Budapest, Rokolya utca 1-13.",2022.11.25,2033.06.30,47.5419861,19.0885896,ok,"Budapest, Rokolya u. 1-13, 1131 Hungary","https://www.google.com/maps/place/Budapest,+Rokolya+u.+1-13,+1131+Hungary/@47.5419861,19.0885896,17z/data=!3m1!4b1!4m6!3m5!1s0x4741dbb98a074993:0x20cabf183686503!8m2!3d47.5419861!4d19.0885896!16s%2Fg%2F11ysb76t03?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Füstölgő-trafik Bt,DKE1700000088,1044 Budapest 04. ker. Megyeri út 53.,2013.07.01,2033.06.30,47.5877223,19.0992481,ok,"Budapest, Megyeri út 53, 1044 Hungary","https://www.google.com/maps/place/Budapest,+Megyeri+%C3%BAt+53,+1044+Hungary/@47.5878143,19.0989771,17z/data=!3m1!4b1!4m6!3m5!1s0x4741da08ad863c3d:0x2de8cd56b1da11da!8m2!3d47.5877223!4d19.0992481!16s%2Fg%2F11bw4q7_dj?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Gallwitz-Pipa Ker. és Szolg. Bt,DKE1700000006,1053 Budapest 05. ker. Kecskeméti utca 1.,2013.07.01,2033.06.30,47.4905998,19.0591376,ok,"Budapest, Kecskeméti u. 1-05, 1053 Hungary","https://www.google.com/maps/place/Budapest,+Kecskem%C3%A9ti+u.+1-05,+1053+Hungary/@47.4905998,19.0591376,17z/data=!3m1!4b1!4m5!3m4!1s0x4741dc44db064329:0xb461db233406adc5!8m2!3d47.4905998!4d19.0591376?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Garinex-Trade Bt.,DKE1700000137,1042 Budapest 04. ker. Csányi László utca 9-11.,2013.07.01,2033.06.30,47.5588335,19.0840551,no_place,,"https://www.google.com/maps/search/1042+Budapest+04.+ker.+Cs%C3%A1nyi+L%C3%A1szl%C3%B3+utca+9-11./@47.559697,19.08163,17z/data=!3m1!4b1?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Gedi Trafik Bt,DKE1010000088,"1239 Budapest, Grassalkovich út 256.",2023.11.13,2033.06.30,47.3900958,19.1192183,ok,"Budapest, Grassalkovich út 256, 1239 Hungary","https://www.google.com/maps/place/Budapest,+Grassalkovich+%C3%BAt+256,+1239+Hungary/@47.3900958,19.1192183,17z/data=!3m1!4b1!4m6!3m5!1s0x4741e8546fad7843:0x6081394fa7b28e6e!8m2!3d47.3900958!4d19.1192183!16s%2Fg%2F11jzprzw_p?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Gedi Trafik Bt,DKE1010000114,"1182 Budapest, Királyhágó utca 64.",2023.04.26,2033.06.30,47.4224565,19.212013,ok,"Budapest, Királyhágó utca 64, 1182 Hungary","https://www.google.com/maps/place/Budapest,+Kir%C3%A1lyh%C3%A1g%C3%B3+utca+64,+1182+Hungary/@47.4224565,19.212013,17z/data=!3m1!4b1!4m6!3m5!1s0x4741c1f72520270d:0x21fa8157054ebbac!8m2!3d47.4224565!4d19.212013!16s%2Fg%2F11vc4zlt59?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Gedi Trafik Bt.,DKE1010000095,"1188 Budapest, Nemes utca 51-53. B lház. földszint 1. ajtó",2023.12.15,2033.06.30,47.4089203,19.1942338,ok,Nemes Dental Center,"https://www.google.com/maps/place/Nemes+Dental+Center/@47.4089203,19.1942338,17z/data=!3m1!4b1!4m6!3m5!1s0x4741e9ff38982f77:0x456311adc5331b42!8m2!3d47.4089203!4d19.1942338!16s%2Fg%2F11c32f__gx?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
GEGO Cigarette Bt.,DKE1010000333,1094 Budapest 09. ker. Üllői út 89/a,2019.01.01,2033.06.30,47.482544,19.0786211,ok,"Budapest, Üllői út 89a, 1096 Hungary","https://www.google.com/maps/place/Budapest,+%C3%9Cll%C5%91i+%C3%BAt+89a,+1096+Hungary/@47.482544,19.0786211,17z/data=!3m1!4b1!4m6!3m5!1s0x4741dcfa38dff93f:0x87de019b1da9271b!8m2!3d47.482544!4d19.0786211!16s%2Fg%2F11c5hj9kvs?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
GEGO Cigarette Bt.,DKE1600000328,1084 Budapest 08. ker. Déri Miksa utca 1,2018.12.27,2033.06.30,47.4924389,19.0732217,ok,"Budapest, Déri Miksa u. 1, 1084 Hungary","https://www.google.com/maps/place/Budapest,+D%C3%A9ri+Miksa+u.+1,+1084+Hungary/@47.4924389,19.0732217,17z/data=!3m1!4b1!4m6!3m5!1s0x4741dc5f04011bc3:0x2327a3bdfaa9778!8m2!3d47.4924389!4d19.0732217!16s%2Fg%2F11nnsc6f2n?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
GEGO Cigarette Bt.,DKE1700000181,1015 Budapest 01. ker. Fő utca 37/C.,2013.07.01,2033.06.30,47.5051915,19.0379277,ok,"Budapest, Fő u. 37c, 1015 Hungary","https://www.google.com/maps/place/Budapest,+F%C5%91+u.+37c,+1015+Hungary/@47.5051915,19.0379277,17z/data=!3m1!4b1!4m6!3m5!1s0x4741dc19a2a0decb:0x5ef0d2d1547e30b2!8m2!3d47.5051915!4d19.0379277!16s%2Fg%2F11nnkpdlft?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
GEGO Cigarette Bt.,DKE1700000220,"1013 Budapest 01. ker. Déli pályaudvar, peronszint, utca front",2013.07.01,2033.06.30,,,no_place,,"https://www.google.com/maps/search/1013+Budapest+01.+ker.+D%C3%A9li+p%C3%A1lyaudvar,+peronszint,+utca+front/@47.5000728,19.0293082,17z/data=!3m1!4b1?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Gellért-Dohány Bt,DKE1010000130,1117 Budapest 11. ker. Kőrösy József utca 7-9.,2013.07.01,2033.06.30,47.4744666,19.0475358,ok,"Budapest, Kőrösy József u. 7-9, 1117 Hungary","https://www.google.com/maps/place/Budapest,+K%C5%91r%C3%B6sy+J%C3%B3zsef+u.+7-9,+1117+Hungary/@47.4744666,19.0475358,17z/data=!3m1!4b1!4m6!3m5!1s0x4741ddb21f49e683:0x9d4942251260288!8m2!3d47.4744666!4d19.0475358!16s%2Fg%2F11bw3xjqrr?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
GFAMILY TABAK Bt.,DKE1010000212,1091 Budapest 09. ker. Népliget gyalogos aluljáró 1.,2013.07.01,2033.06.30,,,no_place,,"https://www.google.com/maps/search/1091+Budapest+09.+ker.+N%C3%A9pliget+gyalogos+alulj%C3%A1r%C3%B3+1./@47.4766747,19.0940316,17z/data=!3m1!4b1?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
Gfamily Tabak Bt.,DKE1010000298,"1098 Budapest, Dési Huber utca 20. fsz. 14.",2024.08.27,2033.06.30,47.468923,19.1108944,no_place,,"https://www.google.com/maps/search/1098+Budapest,+D%C3%A9si+Huber+utca+20.+fsz.+14./@47.4664211,19.1142242,17z/data=!3m1!4b1?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
GFAMILY TABAK Bt.,DKE1600000285,1083 Budapest 08. ker. Práter utca 59.,2013.07.01,2033.06.30,47.4866506,19.080408,ok,"Budapest, Práter u. 59, 1083 Hungary","https://www.google.com/maps/place/Budapest,+Pr%C3%A1ter+u.+59,+1083+Hungary/@47.4866506,19.080408,17z/data=!3m1!4b1!4m6!3m5!1s0x4741dcf1290913b5:0xef27a9a7dd70f1c7!8m2!3d47.4866506!4d19.080408!16s%2Fg%2F11sz2vz9n2?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
GFAMILY TABAK Bt.,DKE1600000290,1087 Budapest 08. ker. Kerepesi út 1-5.,2013.07.01,2033.06.30,47.4986114,19.08391,no_place,,"https://www.google.com/maps/search/1087+Budapest+08.+ker.+Kerepesi+%C3%BAt+1-5./@47.5018896,19.1214024,14z/data=!3m1!4b1?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
GL Building Trafik Bt,DKE1700000225,1048 Budapest 04. ker. Csíkszentiván utca 6.,2013.07.01,2033.06.30,47.5969444,19.1208333,ok,"Budapest, Csíkszentiván u. 6, 1048 Hungary","https://www.google.com/maps/place/Budapest,+Cs%C3%ADkszentiv%C3%A1n+u.+6,+1048+Hungary/@47.5969444,19.1208333,17z/data=!3m1!4b1!4m6!3m5!1s0x4741d09866a538bd:0xce403304fea5a556!8m2!3d47.5969444!4d19.1208333!16s%2Fg%2F11rg689wq_?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
GL Building Trafik Bt,DKE1700000226,1041 Budapest 04. ker. Berzeviczy Gergely utca 17. A. ép.,2013.07.01,2033.06.30,47.5642636,19.0840235,no_place,,"https://www.google.com/maps/search/1041+Budapest+04.+ker.+Berzeviczy+Gergely+utca+17.+A.+%C3%A9p./@47.5639162,19.0843609,17z/data=!3m1!4b1?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwOS4wIKXMDSoASAFQAw%3D%3D"
