Name,License Number,Address,Start of Validity,End of Validity,Latitude,Longitude
Bán Trafik Bt.,DKE1010000258,1182 Budapest 18. ker. Reviczky Gy. út 76.,2013.07.01,2033.06.30,,
Bán Trafik Bt.,DKE1700000138,1047 Budapest 04. ker. Baross utca 88.,2013.07.01,2033.06.30,47.4895207,19.0788966
Bármikor 71 Bt,DKE1700000123,1032 Budapest 03. ker. Szőlő utca 94.,2013.07.01,2033.06.30,47.5428488,19.0369693
Bármikor 71 Bt.,DKE1700000223,"1036 Budapest, Fényes Adolf utca 21-23.",2025.11.27,2033.06.30,47.5343485,19.0414899
Barna István,DKE1600000040,"1163 Budapest, Veres Péter út 43.",2025.11.06,2033.06.30,47.5091345,19.1804522
Beba Trafik Bt,DKE1600000314,1162 Budapest 16. ker. Szlovák út hrsz. 114749,2014.06.17,2034.04.07,,
Bedko Ker. és Szolg. Bt,DKE1600000014,1172 Budapest 17. ker. Ferihegyi út 39,2013.07.01,2033.06.30,47.4875021,19.2589167
Béke-Trafik Bt.,DKE1700000052,1131 Budapest 13. ker. Béke út 69/F20,2013.07.01,2033.06.30,47.4289141,19.2188614
Bényi Trafik Bt.,DKE1010000242,"1091 Budapest, Üllői út 143.",2023.11.07,2033.06.30,47.471381,19.1074553
BERNUS Bt.,DKE1010000009,"1203 Budapest, Kossuth Lajos utca 91.",2022.10.10,2033.06.30,47.4261408,19.0696678
Better Life Bt.,DKE1600000026,"1161 Budapest, Rákosi út 103.",2025.03.11,2033.06.30,47.5201425,19.1654288
Bident Dohány Bt,DKE1010000198,"1182 Budapest, Gyékény tér 1.",2024.11.15,2033.06.30,47.4313254,19.1963066
Bident Dohány Bt,DKE1010000267,"1181 Budapest, Gilice tér 49.",2024.11.15,2033.06.30,47.4327874,19.1819207
Bident Dohány Bt.,DKE1010000196,"1182 Budapest, Üllői út 379-381.",2026.08.06,2033.06.30,47.4460101,19.1705907
Bimba Tabak Bt.,DKE1700000168,1135 Budapest 13. ker. Béke út 13-19.,2013.07.01,2033.06.30,47.4289141,19.2188614
Bimba Tabak Bt.,DKE1700000211,1139 Budapest 13. ker. Balzac utca 8-10,2013.07.01,2033.06.30,47.5148938,19.057568
Bimba Tabak Bt.,DKE1700000212,"1132 Budapest, Nyugati tér 4.",2013.10.31,2033.06.30,47.5110792,19.0558212
Bodegita Tobacco Bt,DKE1700000075,1132 Budapest 13. ker. Országbíró utca 38-40.,2013.07.01,2033.06.30,47.5329369,19.0731419
Bodegita Tobacco Bt,DKE1700000085,1135 Budapest 13. ker. Kisgömb utca 14-16.,2013.07.01,2033.06.30,47.5243294,19.0851452
Bodicoop Bt.,DKE1010000013,1203 Budapest 20. ker. Téglagyár tér 7-9.,2013.07.01,2033.06.30,47.434918,19.0922613
Bodicoop Bt.,DKE1700000020,1132 Budapest 13. ker. Visegrádi utca 4.,2013.07.01,2033.06.30,47.5120822,19.0535489
Bodó Brigitta,DKE1010000019,1193 Budapest 19. ker. Üllői út 248/4,2013.07.01,2033.06.30,47.4528313,19.155764
Bodó Brigitta,DKE1010000025,1181 Budapest 18. ker. Havanna utca 13.,2013.07.01,2033.06.30,47.4424853,19.1672428
Bodó Gyula,DKE1010000021,"1191 Budapest, Kossuth tér piac 2. sz. üzlet",2021.11.22,2033.06.30,47.4586155,19.145076
Bopet Trafik Bt,DKE1010000206,"1214 Budapest, II. Rákóczi Ferenc út 277.",2025.03.07,2033.06.30,47.4009401,19.0510391
Bopet Trafik Bt,DKE1010000288,"1214 Budapest, Zrínyi utca 1/a",2025.03.07,2033.06.30,47.4177472,19.0653739
Bopet Trafik Bt,DKE1700000185,"1041 Budapest, Virág utca 7. fszt. Ü-7.",2025.03.07,2033.06.30,47.561166,19.0974334
