Name,License Number,Address,Start of Validity,End of Validity,Latitude,Longitude
Hauck Tobacco Bt.,DKE1010000182,1212 Budapest 21. ker. Görgey Artúr tér 1/A.,2013.07.01,2033.06.30,47.4227503,19.0696382
Hauck Tobacco Bt.,DKE1600000192,1072 Budapest 07. ker. Dob utca 28-30.,2013.07.01,2033.06.30,47.4992103,19.0623194
Hauck Tobacco Bt.,DKE1700000130,1137 Budapest 13. ker. Katona József utca 3. fszt.,2013.07.01,2033.06.30,47.5123597,19.0563856
Hegedüs Dóra Edit,DKE1600000163,1152 Budapest 15. ker. Szentmihályi utca 137.,2013.07.01,2033.06.30,47.510893,19.1473505
Hegyvidék Tabak Bt,DKE1010000033,1123 Budapest 12. ker. Csörsz utca 23-25.,2013.07.01,2033.06.30,47.4900555,19.0261459
Hegyvidék Tabak Bt,DKE1010000050,1125 Budapest 12. ker. Nógrádi utca 39.,2013.07.01,2033.06.30,47.5028523,19.0025859
Hegyvidék Tabak Bt,DKE1010000067,1121 Budapest 12. ker. Eötvös út 38/B,2013.07.01,2033.06.30,47.4994561,18.9719118
Herbi Tabak Bt,DKE1010000155,"1202 Budapest, Mártírok útja 205.",2024.07.03,2033.06.30,47.4359055,19.1323755
Héthéthét Dohány Bt.,DKE1010000132,1111 Budapest 11. ker. Szent Gellért tér 3.,2013.07.01,2033.06.30,47.4832037,19.0535088
Héthéthét Dohány Bt.,DKE1010000134,1191 Budapest 19. ker. Eötvös utca 1-3.,2013.07.01,2033.06.30,47.4599207,19.1432819
Héthéthét Dohány Bt.,DKE1600000178,1173 Budapest 17. ker. Pesti-501 utca Hrsz 120003,2013.07.01,2033.06.30,,
Hídfő Tabak Bt,DKE1700000035,1027 Budapest 02. ker. Margit körút 1.,2013.07.01,2033.06.30,47.514766,19.0378824
Holló Tabak Bt,DKE1010000047,1112 Budapest 11. ker. Péterhegyi lejtő 71.,2013.07.01,2033.06.30,47.4493651,19.0070159
Holló Tabak Bt,DKE1010000061,1093 Budapest 09. ker. Balázs Béla utca 34/6,2013.07.01,2033.06.30,47.4791651,19.0782647
Holló Tabak Bt.,DKE1600000011,"1147 Budapest, Zsolnay Vilmos utca 1. C lh. földszint 1-2. ajtó",2026.07.03,2033.06.30,47.5313197,19.1231944
Hor-Macz Bt,DKE1600000139,1156 Budapest 15. ker. Páskomliget utca 6.,2013.07.01,2033.06.30,47.5447408,19.1383038
HOTYADOHÁNY Bt.,DKE1010000090,"1237 Budapest, Ciklámen utca 3.",2025.10.02,2033.06.30,47.4162646,19.1302166
Hunters Tobacco Bt,DKE1600000220,"1149 Budapest, Nagy Lajos király útja 189.",2025.01.06,2033.06.30,47.5225588,19.1025001
Hunters Tobacco Bt,DKE1600000221,"1173 Budapest, Kaszáló utca 47.",2025.01.06,2033.06.30,47.481151,19.255627
Hunters Tobacco Bt,DKE1600000222,"1145 Budapest, Csömöri út 9-11.",2025.01.06,2033.06.30,47.5206429,19.1144849
Huntrafik Bt,DKE1700000023,1039 Budapest 03. ker. Mátyás király út 82,2013.07.01,2033.06.30,47.5848025,19.0605096
Indigó Trafik Bt.,DKE1600000174,"1146 Budapest, Thököly út 63.",2022.07.11,2033.06.30,47.5077371,19.0943639
Indigó Trafik Bt.,DKE1600000176,"1151 Budapest, Külső Fóti út 1.",2024.12.20,2033.06.30,47.5685386,19.1348325
Indigó Trafik Bt.,DKE1600000177,"1077 Budapest, Wesselényi utca 33.",2022.07.11,2033.06.30,47.4989856,19.0665116
Indigó Trafik Bt.,DKE1700000034,"1133 Budapest, Árbóc utca 6.",2022.07.11,2033.06.30,47.5316996,19.0647074
Ion Tibor Atila,DKE1600000239,1149 Budapest 14. ker. Mogyoródi utca 23-39.,2013.07.01,2033.06.30,47.5137369,19.1239873
Ion Tibor Atila,DKE1700000073,"1039 Budapest, Mátyás király út 1.",2024.07.29,2033.06.30,47.5859765,19.0452652
ITB Bravo Bt,DKE1600000112,1103 Budapest 10. ker. Óhegy utca 41.,2013.07.01,2033.06.30,47.4768435,19.1456522
Jáger trafik Bt,DKE1600000227,1143 Budapest 14. ker. Pillangó utca 22,2013.07.01,2033.06.30,47.5044123,19.1162373
Janitz Csabáné,DKE1010000005,1222 Budapest 22. ker. Verseci utca 4.,2013.07.01,2033.06.30,47.4161939,19.0269981
Jánosi Péter,DKE1010000071,1098 Budapest 09. ker. Pöttyös   6.,2013.07.01,2033.06.30,47.466874,19.1164353
Jászter Trafik Bt,DKE1600000247,1102 Budapest 10. ker. Kőrösi Csoma sétány 2.,2013.07.01,2033.06.30,47.4838298,19.1293222
Joker G&N Bt.,DKE1010000322,1092 Budapest 09. ker. Ráday utca 33/a.,2013.10.16,2033.06.30,47.4851755,19.0645611
Joker G&N Bt.,DKE1700000240,1024 Budapest 02. ker. Margit körút 95.,2013.07.26,2033.06.30,47.5078528,19.0256616
Józsa Csaba Trafik Bt.,DKE1700000142,"1013 Budapest, Alagút utca 5.",2021.12.20,2033.06.30,47.497006,19.0328585
Józsa Csaba Trafik Bt.,DKE1700000148,"1014 Budapest, Tárnok utca 26.",2021.12.20,2033.06.30,47.5012083,19.0337252
Józsa Csaba Trafik Bt.,DKE1700000149,"1053 Budapest, Ferenciek tere 7-8.",2021.12.20,2033.06.30,47.4927994,19.0563834
Kabát Henriett,DKE1010000127,1239 Budapest 23. ker. Grassalkovich út 176,2013.07.01,2033.06.30,47.3922938,19.1177761
Káldex Hungary Bt.,DKE1700000002,1035 Budapest 03. ker. Szentendrei út 12,2013.07.01,2033.06.30,47.5450196,19.0419726
Kári Zoltán Tobacco Bt,DKE1600000123,1103 Budapest 10. ker. Sibrik Mikós utca 30.,2013.07.01,2033.06.30,,
Kátai Tibor Jánosné,DKE1600000029,"1106 Budapest, Maglódi út 53. 2. épület 3. ajtó",2024.04.16,2033.06.30,47.4892867,19.1497592
Katra-Sala Kkt,DKE1700000090,1039 Budapest 03. ker. Pablo Neruda utca 1-2.,2013.07.01,2033.06.30,47.5967333,19.0496496
Kattra András,DKE1700000029,1044 Budapest 04. ker. Megyeri út 86-88.,2013.07.01,2033.06.30,47.5859634,19.0941844
Kazánkovács Bt.,DKE1700000139,1039 Budapest 03. ker. Hímző utca 12.,2013.07.01,2033.06.30,47.5968631,19.0591994
Kele Árpád,DKE1010000175,1203 Budapest 20. ker. Kossuth Lajos utca 99/B.,2013.07.01,2033.06.30,47.4389982,19.1050888
Kentaurus Gold Bt.,DKE1600000182,"1065 Budapest, Nagymező utca 14.",2023.09.15,2033.06.30,47.5028454,19.0608072
Keresztur Tabac Shop Bt,DKE1600000154,1172 Budapest 17. ker. Naplás út 11.,2013.07.01,2033.06.30,47.4926941,19.280262
KESZI TABAK-SHOP Bt.,DKE1010000085,"1119 Budapest, Tétényi út 63.",2024.12.09,2033.06.30,47.4642459,19.032762
KICSI-RÁCZ KERESKEDELMI BT.,DKE1600000017,1106 Budapest 10. ker. Gyakorló utca 36.,2013.07.01,2033.06.30,47.502288,19.1467572
Kimo Tabak Bt.,DKE1600000324,"1085 Budapest, József körút 66.",2022.07.14,2033.06.30,47.4879081,19.0707803
Kincsem Tabak-Shop Bt.,DKE1600000235,"1146 Budapest, Hungária körút 140-144.",2024.10.25,2033.06.30,47.5118459,19.0977494
Kincsem Tabak-Shop Bt.,DKE1600000236,"1161 Budapest, Rákosi út 116.",2024.10.25,2033.06.30,47.5216601,19.1680343
Király Tobacco Shop Bt.,DKE1010000110,"1191 Budapest, Kossuth tér villamos megálló",2022.11.11,2033.06.30,,
Kiscigaretta Bt.,DKE1700000140,"1027 Budapest, Bem József utca 9.",2023.10.17,2033.06.30,47.5119048,19.0347184
Kishunor Bt.,DKE1600000311,1148 Budapest 14. ker. Nagy Lajos király útja 100.,2013.12.02,2033.11.24,47.5141985,19.1200315
Kislutri Bt,DKE1600000213,1152 Budapest 15. ker. Régifóti út 30.,2013.07.01,2033.06.30,,
Kobabe Szivar Bt,DKE1600000206,1073 Budapest 07. ker. Wesselényi utca 45,2013.07.01,2033.06.30,47.5006416,19.0692562
Kobabe Szivar Bt,DKE1600000217,"1151 Budapest, 88195. hrsz.",2024.12.19,2033.06.30,47.4978789,19.0402383
Kobabe Szivar Bt,DKE1600000266,1067 Budapest 06. ker. Teréz körút 21.,2013.07.01,2033.06.30,47.5059925,19.0626501
Kobabe Szivar Bt,DKE1600000270,1071 Budapest 07. ker. Damjanich utca 11-15.,2013.07.01,2033.06.30,47.5062084,19.0759651
Koki Trafik Bt.,DKE1010000156,"1191 Budapest, Ady Endre út 42-44.",2022.11.25,2033.06.30,47.4604041,19.1327607
Koki Trafik Bt.,DKE1010000160,"1097 Budapest, Könyves Kálmán körút 12-14.",2022.11.25,2033.06.30,47.4708783,19.0841386
Koki Trafik Bt.,DKE1600000081,"1145 Budapest, Nagy Lajos király útja 210.",2022.11.25,2033.06.30,47.5220951,19.1027216
Kondás Orsolya,DKE1010000148,1116 Budapest 11. ker. Fehérvári út 45-47.,2013.07.01,2033.06.30,47.469461,19.044411
Kondás Orsolya,DKE1010000149,1119 Budapest 11. ker. Andor utca 2.,2013.07.01,2033.06.30,47.45574,19.03881
Kondás Zsolt Attila,DKE1600000102,1162 Budapest 16. ker. Rákosi út 265/B,2013.07.01,2033.06.30,47.522874,19.1709777
Korona Trafik Bt.,DKE1010000177,"1114 Budapest, Fehérvári út 13.",2023.08.30,2033.06.30,47.4757162,19.0467094
Korona Trafik Bt.,DKE1600000186,"1103 Budapest, Gyömrői út 76-80.",2023.08.30,2033.06.30,47.4660177,19.1482446
Korozmán Anikó,DKE1010000002,1225 Budapest 22. ker. Nagytétényi út 293.,2013.07.01,2033.06.30,47.3917626,18.9829234
Kovács Nikolett,DKE1600000002,1152 Budapest 15. ker. Fő út 2.,2013.07.01,2033.06.30,47.5682298,19.1256891
Kovi Tabak Bt.,DKE1010000104,1204 Budapest 20. ker. Radnó utca 2.,2013.07.01,2033.06.30,47.4413053,19.1333371
Kovi Tabak Bt.,DKE1010000112,"1182 Budapest, Cziffra György utca 15/B.",2022.07.07,2033.06.30,47.4325899,19.1783785
Kozmix Trafik Bt.,DKE1010000128,"1182 Budapest, Üllői út 745.",2013.07.01,2033.06.30,47.4294403,19.2165112
Krattinger András Attiláné,DKE1700000037,"1139 Budapest, Béke tér 10-11. földszint 6. ajtó",2024.07.11,2033.06.30,47.5311222,19.080786
Kremmer Sztár Bt.,DKE1600000019,"1171 Budapest, Zrínyi utca 86.",2025.07.18,2033.06.30,47.4482751,19.145685
Kremmer Sztár Bt.,DKE1600000023,"1105 Budapest, Körösi Csoma Sándor út 43.",2025.07.18,2033.06.30,47.4903057,19.137786
Kremmer Tabak Bt.,DKE1600000070,1152 Budapest 15. ker. Rákos út 84.,2013.07.04,2033.06.30,47.549914,19.1171355
Kremmer Tabak Bt.,DKE1600000075,1152 Budapest 15. ker. Rákos út 48.,2013.07.01,2033.06.30,47.5556593,19.1197676
Kremmer Tabak Bt.,DKE1600000078,"1081 Budapest, II. János Pál pápa tér 13.",2023.04.14,2033.06.30,47.4951669,19.0786954
Kremmer Tabak Bt.,DKE1600000080,1152 Budapest 15. ker. Töltés utca 4.,2013.07.01,2033.06.30,47.5736974,19.1209281
Kribaco Shop Bt,DKE1010000062,1204 Budapest 20. ker. Ady Endre utca 90/92.,2013.07.01,2033.06.30,47.4380558,19.1049051
Krila Trafik Bt,DKE1010000046,1222 Budapest 22. ker. Tóth József utca 49.,2013.07.01,2033.06.30,47.4221944,19.0363889
Krila Trafik Bt,DKE1010000058,1222 Budapest 22. ker. Gádor utca 128.,2013.07.01,2033.06.30,47.425383,19.0150821
Kriprint Bt,DKE1010000049,1224 Budapest 22. ker. Dózsa György út 29,2013.07.01,2033.06.30,47.5066582,19.0860698
KRISZTINA TABAK-SHOP Bt.,DKE1010000080,"1116 Budapest, Fehérvári út 192.",2023.05.18,2033.06.30,47.4436017,19.0373284
KRISZTINA TABAK-SHOP Bt.,DKE1700000074,"1013 Budapest, Krisztina körút 37.",2023.05.18,2033.06.30,47.4988446,19.0259049
Ksmith Cigarette Bt,DKE1700000222,1011 Budapest 01. ker. Batthyány tér HÉV végállomás 014445 hrsz.,2013.07.01,2033.06.30,,
Ksmith Cigarette Bt.,DKE1700000187,"1015 Budapest, Batthyány utca 1.",2024.01.05,2033.06.30,47.5069935,19.0378435
Ksmith Cigarette Bt.,DKE1700000198,"1011 Budapest, Fő utca 4. földszint",2024.10.15,2033.06.30,47.4989185,19.0400458
Kultúr Dohány Bt.,DKE1010000054,1181 Budapest 18. ker. Est utca 50.,2013.07.01,2033.06.30,47.4348016,19.17024
Kürcha Tobacco Bt,DKE1010000197,1237 Budapest 23. ker. Haraszti út 34-36,2013.07.01,2033.06.30,47.3934815,19.1157955
Kürcha Tobacco Bt,DKE1010000290,1237 Budapest 23. ker. Köves út 40.,2013.07.01,2033.06.30,47.4172056,19.1405493
Kürcha Tobacco Bt,DKE1600000185,1155 Budapest 15. ker. Kolozsvár utca 48-50.,2013.07.01,2033.06.30,47.5399026,19.1192238
Kürcha Tobacco Bt,DKE1600000200,1156 Budapest 15. ker. Nyírpalota utca 2.,2013.07.01,2033.06.30,47.539171,19.137763
Kürcha Tobacco Bt,DKE1600000205,1157 Budapest 15. ker. Páskomliget utca 26,2013.07.01,2033.06.30,47.5459702,19.1366544
Kut Tabak Bt,DKE1010000261,1121 Budapest 12. ker. Zugligeti út 58,2013.07.01,2033.06.30,47.5178584,18.9836098
Kut Tabak Bt,DKE1010000262,1125 Budapest 12. ker. Kútvölgyi út 12,2013.07.01,2033.06.30,47.5123729,19.0003334
Kut Tabak Bt,DKE1700000224,1025 Budapest 02. ker. Csatárka út 58.,2013.07.01,2033.06.30,47.5299602,19.0098972
Kuuba Trafik Bt.,DKE1010000234,"1118 Budapest, Rétköz utca 3.",2024.08.15,2033.06.30,47.47413,18.9962467
Kuuba Trafik Bt.,DKE1010000235,"1116 Budapest, Olajbogyó utca 3.",2024.08.15,2033.06.30,47.456627,19.0228244
Kuuba Trafik Bt.,DKE1600000248,"1146 Budapest, Dózsa György út 13.",2024.08.15,2033.06.30,47.5051185,19.0881425
Kuuba Trafik Bt.,DKE1600000249,"1148 Budapest, Vezér utca 129.",2024.08.15,2033.06.30,47.5183337,19.1296677
Kvintker Bt.,DKE1010000228,1117 Budapest 11. ker. Móricz Zsigmond körtér 9.,2013.07.01,2033.06.30,47.4767758,19.0462707
Kvintker Bt.,DKE1010000232,1117 Budapest 11. ker. Bercsényi utca 21/a,2013.07.01,2033.06.30,47.4759098,19.0502369
Kvintker Bt.,DKE1600000233,"1143 Budapest, Szobránc 20.",2021.04.12,2033.06.30,47.5058211,19.1033804
Kvintker Bt.,DKE1600000237,1149 Budapest 14. ker. Egressy   9/A,2013.07.01,2033.06.30,47.5066558,19.1053408
Kvintker Bt.,DKE1700000166,"1031 Budapest, Vízimolnár utca 8.",2022.08.17,2033.06.30,47.5688191,19.052863
Latif Trafik Bt,DKE1010000204,1111 Budapest 11. ker. Lágymányosi utca 16.,2013.07.01,2033.06.30,47.4775638,19.0532928
Latif Trafik Bt,DKE1010000331,1116 Budapest 11. ker. Fehérvári út 211.,2016.03.23,2033.06.30,47.4470136,19.0365659
Lavanderia Bt.,DKE1600000315,1173 Budapest 17. ker. Ferihegyi út 132.,2014.10.03,2034.09.04,47.4758244,19.2549415
Lendeczkiné Kővári Katalin Piroska,DKE1600000003,"1155 Budapest, Vasutastelep utca 5.",2013.07.01,2033.06.30,47.5418312,19.1203366
Lettrich Terézia Mária,DKE1700000007,1031 Budapest 03. ker. Keve utca 45/b,2013.07.01,2033.06.30,47.5760564,19.0582694
LG 23 Bt.,DKE1700000197,"1026 Budapest, Gábor Áron utca 74-78.",2026.08.03,2033.06.30,47.5225098,19.014741
LG 23 Bt.,DKE1700000199,"1031 Budapest, Mészkő utca 2-4.",2025.11.26,2033.06.30,47.5797528,19.0328633
LI-ZO-Tabak Bt,DKE1700000017,1132 Budapest 13. ker. Csanády utca 4/B,2013.07.07,2033.06.30,47.5160879,19.0581315
Liget Tabak-Shop Bt,DKE1010000222,1116 Budapest 11. ker. Kondorosi út 7.,2013.07.01,2033.06.30,47.4513971,19.03756
Liget Tabak-Shop Bt,DKE1010000225,1201 Budapest 20. ker. Vágóhíd utca 44.,2013.07.01,2033.06.30,47.4241337,19.1106953
Liget Trafik Bt.,DKE1600000027,1101 Budapest 10. ker. Pongrác utca 9.,2013.07.01,2033.06.30,47.3995499,19.2126103
Lipót Trafik Bt.,DKE1700000238,1133 Budapest 13. ker. Pannónia utca 68.,2013.07.01,2033.06.30,47.5198243,19.0557198
Liso Trafik Bt.,DKE1600000136,1148 Budapest 14. ker. Kerepesi út 34.,2013.07.01,2033.06.30,47.5007184,19.1105525
Liso Trafik Bt.,DKE1600000193,1146 Budapest 14. ker. Dózsa György utca 29.,2013.07.01,2033.06.30,47.5641357,18.9661591
Lohár  Péter,DKE1010000193,1191 Budapest 19. ker. Üllői út 210.,2013.07.01,2033.06.30,47.4595389,19.1406411
Lokomotiv Bt,DKE1600000212,1104 Budapest 10. ker. Mádi utca 98.,2013.07.01,2033.06.30,47.4772467,19.1583549
LOLA Tabak Bt,DKE1700000207,1139 Budapest 13. ker. Fiastyúk utca 23-25,2013.07.01,2033.06.30,47.5430773,19.0809143
LOLA Tabak Bt,DKE1700000208,1135 Budapest 13. ker. Jász utca 105.,2013.07.01,2033.06.30,47.5369323,19.0873467
LOTTOBACCO 7 Bt.,DKE1600000022,"1074 Budapest, Dob utca 52.",2022.01.26,2033.06.30,47.5014381,19.0653598
Lucky Trafik Bt.,DKE1010000179,"1111 Budapest, Bartók Béla út 25.",2022.11.16,2033.06.30,47.4802693,19.0513012
Lucky Trafik Bt.,DKE1700000110,"1042 Budapest, Árpád út 183.",2022.11.16,2033.06.30,47.5607771,19.1066302
Luna Trafik Bt.,DKE1600000147,"1085 Budapest, József körút 31/A.",2022.12.21,2033.06.30,47.4931141,19.0708167
Luna Trafik Bt.,DKE1700000086,"1037 Budapest, Bécsi út 300.",2022.12.21,2033.06.30,47.553687,19.0281633
M-Braun Bt,DKE1600000045,1173 Budapest 17. ker. Pesti út 70.,2013.07.01,2033.06.30,47.4830788,19.2416775
M3 SZTRÁDA TRAFIK SHOP Bt.,DKE1600000131,"1154 Budapest, Alkotmány út 20.",2022.02.24,2033.06.30,,
Mádá Team Plus Bt,DKE1010000164,1215 Budapest 21. ker. Csete Balázs utca 6.,2013.07.01,2033.06.30,47.4342107,19.0761344
Mádá Team Plus Bt,DKE1010000309,1213 Budapest 21. ker. Görgey Artúr tér 20.,2013.07.01,2033.06.30,47.423052,19.07161
Magát Mónika Rózsa,DKE1600000125,1102 Budapest 10. ker. Állomás utca 7.,2013.07.01,2033.06.30,47.4846747,19.128289
MagikTrafik Bt.,DKE1700000216,"1135 Budapest, Lehel utca 64-68.",2025.10.22,2033.06.30,47.5284853,19.0793559
MagikTrafik Bt.,DKE1700000217,"1139 Budapest, Pap Károly utca 22/B. Ü-2.",2025.11.28,2033.06.30,47.5319583,19.0715655
Maglódi Ágnes Dohánytrafik Bt,DKE8110000251,2112 Veresegyház Budapesti út 108.,2013.07.01,2033.06.30,47.6554994,19.263282
Magyar Ákos,DKE1010000173,1185 Budapest 18. ker. Üllői út 696 .,2013.07.01,2033.06.30,47.4290413,19.2183603
Magyar Ákos,DKE1010000174,1203 Budapest 20. ker. Baross utca hrsz. 170204/9,2013.07.01,2033.06.30,,
Major-Lottó Bt.,DKE1010000004,"1212 Budapest, Széchenyi István utca 86.",2022.12.16,2033.06.30,47.4225054,19.0863898
Mandi Bt.,DKE1010000142,1097 Budapest 09. ker. Nagyvárad téri aluljáró 4.,2013.07.01,2033.06.30,,
Mandi Bt.,DKE1600000066,"1088 Budapest 08. ker. Rákóczi út - Astoria aluljáró ""B"" üzlet",2013.07.01,2033.06.30,,
Máté János,DKE1600000035,"1173 Budapest, Pesti út 39. 11. ü.",2022.09.22,2033.06.30,47.4724543,19.277837
Mátrai Péter Róbert,DKE1010000077,1183 Budapest 18. ker. Ráday Gedeon utca 93.,2013.07.01,2033.06.30,47.4495469,19.1931859
Matusek Mónika Gyöngyi,DKE1010000020,"1117 Budapest, Dombóvári út 27.",2023.08.30,2033.06.30,47.4680174,19.0585153
Matusek Mónika Gyöngyi,DKE1600000032,"1087 Budapest, Kerepesi út 5.",2023.08.30,2033.06.30,47.4986114,19.08391
Matusek Mónika Gyöngyi,DKE1600000033,"1066 Budapest, Zichy Jenő utca 1.",2023.08.30,2033.06.30,47.5029844,19.0554128
Mátyás Dohány Ker. Bt,DKE1600000069,1165 Budapest 16. ker. Újszász utca 87.,2013.07.01,2033.06.30,47.5095056,19.2112081
MAUT3NMOK Bt.,DKE1010000150,"1117 Budapest, Magyar Nobeldíjasok útja 4082/21/E.",2026.03.12,2033.06.30,,
Mázsa Tabak Bt,DKE1010000327,"1126 Budapest, Királyhágó utca 2.",2023.10.24,2034.09.29,47.4953531,19.0230072
Merci Tabak Bt,DKE1600000089,1087 Budapest 08. ker. Hős utca 9.,2013.07.01,2033.06.30,47.4959358,19.1075312
Merci Tabak Bt,DKE1600000108,1062 Budapest 06. ker. Teréz körút 55.,2013.07.01,2033.06.30,47.5106103,19.0566883
Merin Tabak Bt,DKE1010000220,1117 Budapest 11. ker. Alíz   6 A,2013.07.01,2033.06.30,47.4591973,19.0489225
Merin Tabak Bt,DKE1010000221,1119 Budapest 11. ker. Bártfai   1-3.,2013.07.01,2033.06.30,47.4674729,19.0432564
Mészáros János,DKE1010000030,1117 Budapest 11. ker. Hunyadi János út 19.,2023.05.10,2033.06.30,47.4351556,19.0413414
Mészáros Jánosné,DKE1010000024,1193 Budapest 19. ker. Ötvenhatosok tere 17.,2013.07.01,2033.06.30,47.4498454,19.1473821
Metro Trafik Bt,DKE1010000301,1091 Budapest 09. ker. Kálvin tér 9.,2013.07.01,2033.06.30,47.4886874,19.0620026
Metro Trafik Bt,DKE1010000303,1091 Budapest 09. ker. Kálvin tér 7.,2013.07.01,2033.06.30,47.4886113,19.0609722
Metro Trafik Bt,DKE1010000304,1097 Budapest 09. ker. Gubacsi út 34.,2013.07.01,2033.06.30,47.445341,19.0970816
Metro Trafik Bt.,DKE1010000302,"1093 Budapest, Gönczy Pál utca 2. földszint IV. ajtó",2025.09.01,2033.06.30,47.487221,19.060145
METRO-MOBIL Bt,DKE1600000085,"1161 Budapest, Csömöri út 109.",2024.04.01,2033.06.30,47.5244882,19.1589675
Mihók Anita Andrea,DKE1600000209,"1165 Budapest, Margit utca 102.",2026.02.11,2033.06.30,47.5165983,19.1887097
Mirabend Bt.,DKE1010000121,1126 Budapest 12. ker. Dolgos utca 2. fsz. 171. üzlet,2013.07.01,2033.06.30,47.4915641,19.0207011
Mizacor-trade 2002 Bt.,DKE1700000232,"1037 Budapest, Bécsi út 43.",2019.11.26,2033.06.30,47.5280719,19.0377122
Mizacor-trade 2002 Bt.,DKE1700000234,1032 Budapest 03. ker. Bécsi út 136.,2013.07.01,2033.06.30,47.5439072,19.0284465
MJ-King Trafik Bt.,DKE1700000171,1046 Budapest 04. ker. Eperjesi utca 1/A:,2013.07.01,2033.06.30,47.573755,19.10389
Moldovainé Kavasinszky Ilona,DKE1010000059,1203 Budapest 20. ker. Baross utca 5/A,2013.07.01,2033.06.30,47.4407712,19.0960277
Moldovainé Kavasinszky Ilona,DKE1600000020,1102 Budapest 10. ker. Liget tér hrsz 38927,2013.07.01,2033.06.30,,
Mucsányi Károly Ferencné,DKE1600000313,1173 Budapest 17. ker. Bakancsos utca 5.,2013.12.18,2033.06.30,47.4801095,19.2437964
MULTI TRAFIK Bt.,DKE1600000194,"1065 Budapest, Hajós utca 23.",2024.04.08,2033.06.30,47.5037517,19.0578237
MULTI TRAFIK Bt.,DKE1600000197,"1142 Budapest, Ungvár utca 50.",2024.04.08,2033.06.30,47.5338953,19.1057885
N&J Family Dohány BT,DKE1600000140,1162 Budapest 16. ker. Mátyás király út 58.,2013.07.01,2033.06.30,47.5855572,19.0523969
Nacsavin Tabak Bt.,DKE1600000262,"1165 Budapest, Arany János utca 102.",2014.12.13,2033.06.30,47.5209115,19.1864524
Nacsavin Tabak Bt.,DKE1600000269,"1165 Budapest, Bökényföldi út 117547. hrsz.",2024.12.18,2033.06.30,47.509975,19.2069849
Nagy A Dohány Bt.,DKE1010000031,1239 Budapest 23. ker. Grassalkovich út 171,2013.07.01,2033.06.30,47.3905659,19.1189114
Nagy A Dohány Bt.,DKE1010000032,1205 Budapest 20. ker. Határ út 95,2013.07.01,2033.06.30,47.4543994,19.1132889
Nagy A Dohány Bt.,DKE1010000038,1211 Budapest 21. ker. Szent Imre tér 19.,2013.07.01,2033.06.30,47.4316954,19.0706925
Nagy A Dohány Bt.,DKE1700000057,1036 Budapest 03. ker. Pacsirtamező utca 22/B.,2013.07.01,2033.06.30,47.5344843,19.0396591
Nagy Erika,DKE1600000001,1162 Budapest 16. ker. György utca 2.,2013.07.01,2033.06.30,47.5308063,19.1714934
Nagy Márta,DKE1010000074,1183 Budapest 18. ker. Balassa utca 2-10.,2013.07.01,2033.06.30,47.4427584,19.1842145
Nagydohány-1161 Bt.,DKE1600000207,1162 Budapest 16. ker. Rákosi út 142-146.,2013.07.01,2033.06.30,47.5236507,19.1722751
Nagyvadász Bt,DKE1600000099,1106 Budapest 10. ker. Harmat utca 113.,2013.07.01,2033.06.30,47.4723883,19.1626224
Nagyvadász Bt.,DKE1010000109,"1191 Budapest, Vak Bottyán utca 72. földszint 3. ajtó",2025.01.27,2033.06.30,47.4618016,19.1460659
Nagyvadász Bt.,DKE1600000107,"1108 Budapest,
 Tavas utca 1. C.
 épület földszint
 18. ajtó",2024.12.09,2033.06.30,47.4689188,19.1653193
Nájkopex Trafik Bt.,DKE1010000247,"1203 Budapest, Topánka HRSZ. 170204/10",2024.03.20,2033.06.30,,
Nájkopex Trafik Bt.,DKE1010000257,"1118 Budapest, Jagelló út 4/A.",2024.03.20,2033.06.30,47.4861728,19.0236657
Nájkopex Trafik Bt.,DKE1010000259,"1203 Budapest, Kossuth Lajos utca 31/b",2024.03.20,2033.06.30,47.4373241,19.1014827
NANE 3000 Bt.,DKE1700000077,"1048 Budapest, Ügető utca 2.",2026.03.12,2033.06.30,47.58119,19.11498
NANE 3000 Bt.,DKE1700000078,"1048 Budapest, Kordován tér 13.",2026.03.12,2033.06.30,47.5868026,19.1133315
Naphegy Tabak Bt.,DKE1010000263,1118 Budapest 11. ker. Sasadi út 83.,2013.07.01,2033.06.30,47.4735112,19.0082869
Naphegy Tabak Bt.,DKE1700000203,1016 Budapest 01. ker. Naphegy tér 3.,2013.07.01,2033.06.30,47.4926141,19.0321797
Naphegy Tabak Bt.,DKE1700000204,1015 Budapest 01. ker. Batthyány utca 28,2013.07.01,2033.06.30,47.5070701,19.0315221
Natrade Dohány Bt,DKE1010000293,1212 Budapest 21. ker. Deák Ferenc tér 1.,2013.07.01,2033.06.30,47.4974057,19.0550071
Natrade Dohány Bt,DKE1700000155,1024 Budapest 02. ker. Lövőház utca 2-6,2013.07.01,2033.06.30,47.5086947,19.0254751
Natrade Dohány Bt,DKE1700000156,1024 Budapest 02. ker. Lövőház utca 12,2013.07.01,2033.06.30,47.5089622,19.0248282
Natrade Dohány Bt.,DKE1010000248,"1211 Budapest, Központi út 18.",2026.01.12,2033.06.30,47.4305849,19.0615899
Natrade Dohány Bt.,DKE1700000237,"1024 Budapest, Margit körút 69.",2023.05.05,2033.06.30,47.5103581,19.0296897
NEDO Dohány Kereskedelmi Bt.,DKE1010000028,"1211 Budapest, Kossuth Lajos utca 87.",2022.01.31,2033.06.30,47.4224676,19.0410054
